"","PlotID","mean_dbh","n_Layer"
"1","HEW1",0.425697841726619,22.31
"2","HEW10",0.288218997361478,20.44
"3","HEW11",0.224261946902655,19.18
"4","HEW12",0.321481595092025,23.73
"5","HEW13",0.263684053651267,17.94
"6","HEW14",0.334576923076923,22.79
"7","HEW15",0.140177142857143,5.93
"8","HEW16",0.128777777777778,9.53
"9","HEW17",0.119303588748788,8.99
"10","HEW18",0.138043729903537,12.6
"11","HEW19",0.323379310344828,23.76
"12","HEW2",0.255425531914894,NA
"13","HEW20",0.325966463414634,22.36
"14","HEW21",0.346349480968858,23.95
"15","HEW22",0.545753846153846,21.72
"16","HEW23",0.5071,5.25
"17","HEW24",0.544864864864865,12.7
"18","HEW25",0.486898876404494,9.12
"19","HEW26",0.332647619047619,19.38
"20","HEW27",0.302953125,21
"21","HEW28",0.310458937198068,17.33
"22","HEW29",0.321708502024292,19.14
"23","HEW3",0.277207373271889,17.4
"24","HEW30",0.234167082294264,17.83
"25","HEW31",0.244269972451791,15.2
"26","HEW32",0.243867924528302,13.46
"27","HEW33",0.404796208530806,22.68
"28","HEW34",0.257741721854305,18.69
"29","HEW35",0.226426573426573,20.51
"30","HEW36",0.22249115913556,14.93
"31","HEW37",0.354558303886926,19.67
"32","HEW38",0.298206896551724,20.56
"33","HEW39",0.351178861788618,19.65
"34","HEW4",0.312,4.16
"35","HEW40",0.311109725685786,19.58
"36","HEW41",0.280139601139601,19.47
"37","HEW42",0.347855421686747,22.5
"38","HEW43",0.117009900990099,4.18
"39","HEW44",0.250666666666667,5.1
"40","HEW45",0.132028786840302,10.64
"41","HEW46",0.28551106639839,20.7
"42","HEW47",0.345527331189711,23.04
"43","HEW48",0.397054347826087,14.9
"44","HEW49",0.302457142857143,17.87
"45","HEW5",0.235741273100616,20.49
"46","HEW50",0.225711111111111,15.37
"47","HEW6",0.382812720848057,24.98
"48","HEW7",0.277869426751592,17.58
"49","HEW8",0.259236842105263,14.21
"50","HEW9",0.307592105263158,19.69
